PayPal configuration error: PayPal credentials not found. Ensure PAYPAL_REST_API_ID and PAYPAL_REST_API_SECRET are set in Railway
Monetization engine error: PayPal credentials not found. Ensure PAYPAL_REST_API_ID and PAYPAL_REST_API_SECRET are set in Railway
[OK] Connected to SQLite database: data\sincor.db
[OK] Database tables initialized (sqlite)
Database Connected: sqlite
JWT Authentication Enabled
Rate Limiting Enabled
Security Headers Enabled
Production Logging Enabled
Monitoring Dashboard Enabled
Loaded 43 agents
Loaded 7 archetypes
[ENGINE API] Registered 15 endpoints
Engine API Controller Enabled
Agent Analytics API Enabled
Agent Steering API Enabled

============================================================
SINCOR MASTER PLATFORM
============================================================
Port: 5000
Debug mode: False
Authentication: ENABLED
Rate Limiting: ENABLED
PayPal: DISABLED
Monetization: DISABLED
Waitlist: ENABLED
Database: data/waitlist.db

Default admin credentials:
  Username: admin
  Password: changeme123
  CHANGE THESE IN PRODUCTION!

Rate Limiting Active:
  Authentication: 5/min, 20/hour, 50/day
  Payments: 10/min, 50/hour, 200/day
  Public endpoints: 20/min, 100/hour, 500/day
============================================================

 * Serving Flask app 'app'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.0.3:5000
Press CTRL+C to quit
127.0.0.1 - - [01/Oct/2025 23:52:27] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:01:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:01:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:01:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:02:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:02:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:02:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:03:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:03:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:03:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:04:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:04:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:04:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:05:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:05:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:05:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:06:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:06:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:06:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:07:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:07:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:07:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:08:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:08:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:08:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:09:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:09:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:09:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:10:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:10:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:10:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:11:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:11:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:11:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:12:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:12:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:12:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:13:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:13:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:13:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:14:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:14:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:14:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:15:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:15:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:15:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:16:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:16:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:16:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:17:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:17:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:17:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:18:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:18:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:18:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:19:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:19:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:19:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:20:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:20:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:20:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:21:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:21:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:21:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:22:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:22:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:22:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:23:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:23:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:23:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:24:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:24:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:24:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:25:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:25:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:25:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:26:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:26:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:26:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:27:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:27:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:27:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:28:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:28:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:28:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:29:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:29:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:29:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:30:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:30:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:30:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:31:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:31:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:31:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:32:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:32:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:32:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:33:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:33:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:33:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:34:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:34:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:34:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:35:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:35:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:35:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:36:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:36:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:36:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:37:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:37:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:37:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:38:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:38:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:38:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:39:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:39:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:39:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:40:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:40:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:40:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:41:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:41:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:41:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:42:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:42:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:42:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:43:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:43:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:43:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:44:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:44:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:44:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:45:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:45:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:45:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:46:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:46:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:46:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:47:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:47:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:47:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:48:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:48:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:48:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:49:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:49:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:49:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:50:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:50:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:50:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:51:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:51:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:51:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:52:01] "GET /api/agent-analytics/analytics?agent_id=E-fomalhaut-09 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:52:01] "GET /api/agent-analytics/metrics?agent_id=E-fomalhaut-09&limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 00:52:01] "GET /api/agent-analytics/agent-summary HTTP/1.1" 200 -
